INF_ID,COL_ENG_NM,COL_KOR_NM,COL_EXP
OA-10219,START_INDEX,요청시작위치,정수입력
OA-10219,END_INDEX,요청종료위치,정수입력
OA-9840,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-9840,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-9840,SERVICE,서비스명,JongnoAdminMesure
OA-9840,START_INDEX,요청시작위치,정수입력
OA-9840,END_INDEX,요청종료위치,정수입력
OA-20419,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20419,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20419,SERVICE,서비스명,fcltOpenInfo_PDSI
OA-20419,START_INDEX,요청시작위치,정수입력
OA-20419,END_INDEX,요청종료위치,정수입력
OA-19201,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19201,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19201,SERVICE,서비스명,LOCALDATA_092903_GD
OA-19201,START_INDEX,요청시작위치,정수입력
OA-19201,END_INDEX,요청종료위치,정수입력
OA-19192,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-19192,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-19192,SERVICE,서비스명,LOCALDATA_092903_GS
OA-19192,START_INDEX,요청시작위치,정수입력
OA-19192,END_INDEX,요청종료위치,정수입력
OA-20385,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20385,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20385,SERVICE,서비스명,fcltOpenInfo_GB
OA-20385,START_INDEX,요청시작위치,정수입력
OA-20385,END_INDEX,요청종료위치,정수입력
OA-2337,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-2337,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-2337,SERVICE,서비스명,GuroPublicHygieneBizTreatment
OA-2337,START_INDEX,요청시작위치,정수입력
OA-2337,END_INDEX,요청종료위치,정수입력
OA-20404,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-20404,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-20404,SERVICE,서비스명,fcltOpenInfo_HE
OA-20404,START_INDEX,요청시작위치,정수입력
OA-20404,END_INDEX,요청종료위치,정수입력
OA-16585,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16585,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16585,SERVICE,서비스명,LOCALDATA_020304_DJ
OA-16585,START_INDEX,요청시작위치,정수입력
OA-16585,END_INDEX,요청종료위치,정수입력
OA-13570,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-13570,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-13570,SERVICE,서비스명,SeoulPhilPblprfrEng
OA-13570,START_INDEX,요청시작위치,정수입력
OA-13570,END_INDEX,요청종료위치,정수입력
OA-16150,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16150,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16150,SERVICE,서비스명,LOCALDATA_114701
OA-16150,START_INDEX,요청시작위치,정수입력
OA-16150,END_INDEX,요청종료위치,정수입력
OA-16092,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16092,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16092,SERVICE,서비스명,LOCALDATA_072402
OA-16092,START_INDEX,요청시작위치,정수입력
OA-16092,END_INDEX,요청종료위치,정수입력
OA-9954,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-9954,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-9954,SERVICE,서비스명,GangseoPublicHygieneBizCleaningProducts
OA-9954,START_INDEX,요청시작위치,정수입력
OA-9954,END_INDEX,요청종료위치,정수입력
OA-11185,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-11185,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-11185,SERVICE,서비스명,YsPublicHygieneBizTreatment
OA-11185,START_INDEX,요청시작위치,정수입력
OA-11185,END_INDEX,요청종료위치,정수입력
OA-10450,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-10450,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-10450,SERVICE,서비스명,YdpAdminMesureFood
OA-10450,START_INDEX,요청시작위치,정수입력
OA-10450,END_INDEX,요청종료위치,정수입력
OA-16250,KEY,인증키,OpenAPI에서 발급받은 인증키
OA-16250,TYPE,요청파일 타입,"xml : xml파일, xls : 엑셀파일, json : json파일"
OA-16250,SERVICE,서비스명,LOCALDATA_010103_SM
OA-16250,START_INDEX,요청시작위치,정수입력
